"","task","cond","item","Nfix_1st_M","Nfix_1st_SD","Nfix_2nd_M","Nfix_2nd_SD","Nfix_all_M","Nfix_all_SD"
"1","reading",1,1,11.3,3.3166247903554,3.11,4.59468291736341,14.4,7.23033732116129
"2","reading",1,2,11.1,2.89155859548291,3,2.78388218141501,14.1,4.04488703317053
"3","reading",1,3,10.3,3,1.89,2.57120810342359,12.2,4.35252161906686
"4","reading",1,4,11.9,3.56320481749626,1.38,1.50594061730772,13.2,4.16619044897648
"5","reading",1,5,9.33,2.82842712474619,2.89,3.8873012632302,12.2,6.11918658356194
"6","reading",1,6,9.12,3.60307408432617,3.75,2.43486579272276,12.9,5.48862460002504
"7","reading",1,7,13.4,5.65930894878321,3.89,3.78960566696736,17.3,7.96868872525461
"8","reading",1,8,11.8,3.56292638773866,1.89,0.927960727138337,13.7,3.16227766016838
"9","reading",1,9,11.2,2.63523138347365,2.44,2.74367960552572,13.7,3.16227766016838
"10","reading",1,10,10.4,3.46810867444747,2.78,3.66666666666667,13.2,6.70406178703959
"11","reading",1,11,11.3,2.54950975679639,4.33,3.1224989991992,15.7,4.27200187265877
"12","reading",1,12,10.6,3.20589734361189,2.89,2.08832734769028,13.4,3.81153220867642
"13","reading",1,13,10.1,2.90012315009454,5.75,4.52769256906871,15.9,5.64263109854664
"14","reading",1,14,9.33,2.54950975679639,2.56,3.00462606288666,11.9,4.13655788199695
"15","reading",1,15,10,2.29128784747792,3,3.278719262151,13,4.47213595499958
"16","reading",1,16,9.78,3.63241578628389,3.33,2.06155281280883,13.1,4.91030662088541
"17","reading",1,17,12.7,3,5.11,3.78960566696736,17.8,5.71790559946948
"18","reading",1,18,10.4,3.71184290855335,4.11,3.78960566696736,14.6,6.38574802022267
"19","reading",1,19,10.3,2.87228132326901,2.44,2.87711275027201,12.8,4.38114647603164
"20","reading",1,20,10.1,3.01846171271247,2,1.58113883008419,12.1,3.78960566696736
"21","reading",1,21,10.7,3.67423461417477,8.44,9.92611594621873,19.1,13.1381547833442
"22","reading",1,22,10,3.3166247903554,2.89,2.84800124843918,12.9,4.62180820795402
"23","reading",1,23,9.89,3.78960566696736,2.67,2.23606797749979,12.6,4.12647280104665
"24","reading",1,24,11,2.12132034355964,4.11,3.33333333333333,15.1,5.06074215022966
"25","reading",1,25,9.11,2.47206616236522,4.67,4.63680924774785,13.8,6.39878460681749
"26","reading",1,26,9.89,3.10017920628971,1.78,1.98606254796883,11.7,4.35889894354067
"27","reading",1,27,9.22,3.38296385503074,5.56,5.96051824741589,14.8,8.37821248503787
"28","reading",1,28,10,3.46410161513775,1.22,1.64147630029935,11.2,4.14661843487491
"29","reading",1,29,10.8,2.38630351054606,3.67,4.94974746830583,14.4,6.48288344625891
"30","reading",1,30,12.2,5.93249057685256,2.22,2.10818510677892,14.4,6.38574802022267
"31","reading",1,31,9,1.11803398874989,3.33,3.39116499156263,12.3,3.42782730020052
"32","reading",1,32,8.22,1.64147630029935,2.67,2.95803989154981,10.9,3.78960566696736
"33","reading",1,33,9.89,2.71313676601662,2.11,2.97676184991529,12,4.74341649025257
"34","reading",1,34,9.67,2.44948974278318,2.44,1.50923085635624,12.1,2.97676184991529
"35","reading",1,35,7,1.92724822331886,2.12,2.10017006114131,9.12,2.16712449375401
"36","reading",1,36,8.89,2.61937227425028,2.56,2.45515331044271,11.4,2.50554939639548
"37","reading",1,37,9.78,2.38630351054606,2.33,2.73861278752583,12.1,4.19655943733806
"38","reading",1,38,10.2,2.63523138347365,3.89,4.10622833158497,14.1,4.64877522699378
"39","reading",1,39,9.22,1.98606254796883,1.67,1.4142135623731,10.9,2.14734978778752
"40","reading",1,40,8.78,2.86259400621961,1.89,2.52212432507026,10.7,4.44409720865779
"41","reading",1,41,8.22,1.98606254796883,2.11,2.71313676601662,10.3,3.87298334620742
"42","reading",1,42,10,1.80277563773199,5.22,7.62852832756387,15.2,6.88799277325727
"43","reading",1,43,9.33,3.39116499156263,2.56,3.20589734361189,11.9,4.78132942926035
"44","reading",1,44,8.89,5.10990323891863,1.11,1.69148192751537,10,4.9749371855331
"45","reading",1,45,8.44,2.12785755580062,4.11,5.30199124019562,12.6,6.85768020381366
"46","reading",1,46,8.78,1.39443337755679,4.89,5.71061389967061,13.7,6.28490254498827
"47","reading",1,47,11,1.4142135623731,6.89,6.09188896083235,17.9,6.19363472535402
"48","reading",1,48,10.3,2.78388218141501,5.11,6.48930744464393,15.4,7.09068246206088
"49","reading",1,49,8.22,1.71593835683117,4,4.18330013267038,12.2,4.40958551844098
"50","reading",1,50,9.33,2.64575131106459,3.22,3.34580998331412,12.6,4.27525177946022
"51","reading",1,51,9.78,1.7873008824606,4,2.95803989154981,13.8,4.11636301174282
"52","reading",1,52,9.22,2.33333333333333,4.44,5.34114011965402,13.7,7.0178344238091
"53","reading",1,53,9.89,2.89155859548291,1.33,1.80277563773199,11.2,3.83333333333333
"54","reading",1,54,8.11,1.36422546197874,2.22,2.90593262902712,10.3,3.53553390593274
"55","reading",1,55,8.67,2.54950975679639,1.11,1.69148192751537,9.78,3.23178657161089
"56","reading",1,56,8.56,1.87823794493077,2.44,2.92023591132254,11,3.60555127546399
"57","reading",1,57,9.11,1.36422546197874,3.22,2.48886408717801,12.3,2.59807621135332
"58","reading",1,58,11.4,2.35112266327765,2.44,3.39525813124389,13.9,4.371625682868
"59","reading",1,59,7.33,1.22474487139159,1.44,2.12785755580062,8.78,2.22361067735439
"60","reading",1,60,8.44,1.23603308118261,1.78,1.85592145427667,10.2,2.48886408717801
"61","reading",1,61,8.44,2.40370085030933,5.78,4.76386864265215,14.2,5.69600249687835
"62","reading",1,62,8.67,2.44948974278318,2.67,1.87082869338697,11.3,3.64005494464026
"63","reading",1,63,8.56,2.12785755580062,5.89,3.8873012632302,14.4,4.69337594677624
"64","reading",1,64,8.89,1.83333333333333,5.33,4.06201920231798,14.2,4.29469957557504
"65","reading",1,65,9.89,2.84800124843918,5.22,3.30823887354653,15.1,3.37062473602611
"66","reading",1,66,8.44,2.50554939639548,2.33,1.4142135623731,10.8,2.81858908754796
"67","reading",1,67,8.22,2.63523138347365,4.11,4.01386485959743,12.3,6.04152298679729
"68","reading",1,68,10.8,4.35252161906686,4.67,3.80788655293195,15.4,4.85054407028508
"69","reading",1,69,9.33,2.69258240356725,2.67,2.73861278752583,12,3
"70","reading",1,70,10.2,3.70060055186242,3.89,6.82723304942135,14.1,8.20738150149675
"71","reading",1,71,8.44,3.35824027993498,3.78,2.94863433549236,12.2,5.35671955999607
"72","reading",1,72,9.33,2.78388218141501,3.67,4.76969600708473,13,4.44409720865779
"73","reading",1,73,6.67,1.4142135623731,4.89,3.25747004761534,11.6,3.81153220867642
"74","reading",1,74,8,2.29128784747792,6.11,3.8873012632302,14.1,5.37225382042873
"75","reading",1,75,9.44,2.74367960552572,3.44,4.69337594677624,12.9,6.54683978046745
"76","reading",1,76,6.11,1.26929551764398,3,2.82842712474619,9.11,2.93446947694317
"77","reading",1,77,7.89,2.52212432507026,2.22,2.22361067735439,10.1,2.75882422620781
"78","reading",1,78,9.11,2.75882422620781,4.56,5.50252467307306,13.7,6.59545297913646
"79","reading",1,79,8.78,2.33333333333333,3,3.08220700148449,11.8,4.35252161906686
"80","reading",1,80,9.89,3.37062473602611,6.78,6.88799277325727,16.7,8.76070773396762
"81","reading",1,81,9.33,2.69258240356725,8.56,4.3906466241065,17.9,5.30199124019562
"82","reading",1,82,10.7,3.278719262151,6.89,4.67558671303518,17.6,6.61647774709307
"83","reading",1,83,8.78,3.1135902820449,3.89,6.64161961505709,12.7,7.88986691902975
"84","reading",1,84,9.67,2.23606797749979,2.67,2.39791576165636,12.3,3.5
"85","reading",1,85,11.1,3.82244831372657,7.33,7.59934207678533,18.4,8.50163382990457
"86","reading",1,86,10.8,3.63241578628389,5.44,3.24465372232196,16.2,4.52155332208351
"87","reading",1,87,9,2.91547594742265,4.22,3.73422608373468,13.2,3.38296385503074
"88","reading",1,88,9.11,3.40750805004348,4.78,4.20647648804132,13.9,5.48735921105144
"89","reading",1,89,8.56,3.04594448041618,2.89,3.10017920628971,11.4,4.33333333333333
"90","reading",1,90,8.33,2.69258240356725,6.22,9.16212008458984,14.6,8.36826014042213
"91","reading",1,91,9.11,3.05959329178097,2.11,2.52212432507026,11.2,3.92994204085053
"92","reading",1,92,9.78,3.19287401011134,1.11,2.26077666104176,10.9,3.05959329178097
"93","reading",1,93,9.89,4.96095868871241,2.22,3.19287401011134,12.1,5.03598164324604
"94","reading",1,94,8.22,2.90593262902712,2,1.93649167310371,10.2,2.58736244937667
"95","reading",1,95,9,2.06155281280883,2,2.73861278752583,11,2.44948974278318
"96","reading",1,96,7.56,1.74005108481842,1.56,1.74005108481842,9.11,2.97676184991529
"97","reading",1,97,7.78,1.98606254796883,0.444,0.726483157256779,8.22,1.92209376577847
"98","reading",1,98,9.33,2.44948974278318,2,2.17944947177034,11.3,3.74165738677394
"99","reading",1,99,8.56,2.00693242979872,0.889,1.26929551764398,9.44,2.50554939639548
"100","reading",1,100,10.2,2.22361067735439,3.33,4.38748219369606,13.6,5.81186525805423
"101","reading",1,101,9.89,2.80376730687679,1.33,1.73205080756888,11.2,3.70060055186242
"102","reading",1,102,9.11,2.93446947694317,2.78,2.33333333333333,11.9,2.31540733157497
"103","reading",1,103,8.44,3.32080980752855,4.11,2.47206616236522,12.6,4.8762462794426
"104","reading",1,104,8.44,2.2973414586817,2.44,3.32080980752855,10.9,2.57120810342359
"105","reading",1,105,8.56,3.35824027993498,2.89,3.37062473602611,11.4,2.2973414586817
"106","reading",1,106,7.89,3.40750805004348,2.22,2.72845092395748,10.1,3.25747004761534
"107","reading",1,107,8.22,3.15348132140408,2.44,2.35112266327765,10.7,3.57071421427143
"108","reading",1,108,8.22,2.68224615657185,4.44,4.21637021355784,12.7,5.91607978309962
"109","reading",1,109,8.78,3.03223423311004,1.33,2.29128784747792,10.1,1.96497102042527
"110","reading",1,110,8.89,2.57120810342359,0.556,1.13038833052088,9.44,2.92023591132254
"111","reading",1,111,8.33,2.78388218141501,2.78,2.48886408717801,11.1,3.17979733805649
"112","reading",1,112,9,3.04138126514911,2.78,5.09356892997871,11.8,3.59783885748715
"113","reading",1,113,9.67,1.87082869338697,1,1.3228756555323,10.7,1.73205080756888
"114","reading",1,114,10.3,4.41588043316392,4.33,6.38357266740185,14.7,6.70820393249937
"115","reading",1,115,8.33,3.16227766016838,2,2.44948974278318,10.3,4.76969600708473
"116","reading",1,116,9,2.34520787991171,1.22,1.30170827931778,10.2,2.38630351054606
"117","reading",1,117,8.78,3.80058475033046,2.11,3.25747004761534,10.9,4.34293807359846
"118","reading",1,118,9.22,2.94863433549236,4.56,4.27525177946022,13.8,4.40958551844098
"119","reading",1,119,8.56,3.24465372232196,3,1.5,11.6,2.96273147243853
"120","reading",1,120,8.33,2.78388218141501,2.33,2.95803989154981,10.7,4.21307488658818
"121","reading",1,121,8.56,2.24227067451229,4.22,4.71109800836752,12.8,6.32016174195285
"122","reading",1,122,7,2.91547594742265,5.33,6.51920240520265,12.3,6.48074069840786
"123","reading",1,123,9.11,4.22624077770199,3.78,4.63081466314993,12.9,5.86183513168966
"124","reading",1,124,10.2,2.72845092395748,5.89,8.20738150149675,16.1,10.0180392847658
"125","reading",1,125,9.22,2.72845092395748,2.22,2.99072640748773,11.4,5.34114011965402
"126","reading",1,126,7.78,2.04803428790742,3,4.76969600708473,10.8,6.49572508996836
"127","reading",1,127,9.11,2.84800124843918,2.67,4.09267638593623,11.8,6.13958015213129
"128","reading",1,128,9.67,2.95803989154981,1.67,3.24037034920393,11.3,5.78791845139511
"129","reading",1,129,9.44,2.92023591132254,3,4.18330013267038,12.4,6.26719855898772
"130","reading",1,130,10.6,2.45515331044271,4.67,5.52268050859363,15.2,7.37864787372622
"131","reading",1,131,8.44,3.43187671366233,3.89,5.3489355119604,12.3,8.32165848854662
"132","reading",1,132,9.67,3.53553390593274,5.78,6.94222186655284,15.4,10.063686092967
"133","reading",1,133,11.2,3.80058475033046,3.22,4.81606109226663,14.4,8.04846431176642
"134","reading",1,134,10.2,2.33333333333333,3.56,4.95255265270121,13.8,5.89019901569076
"135","reading",1,135,8.44,2.2973414586817,2.11,2.52212432507026,10.6,3.74536750904071
"136","reading",1,136,9.22,3.15348132140408,2.56,3.97212509593766,11.8,6.39878460681749
"137","reading",1,137,9.78,4.40958551844098,5.11,6.09188896083235,14.9,9.40005910146905
"138","reading",1,138,9.22,2.53859103528797,4.33,4.41588043316392,13.6,5.41089436024931
"139","reading",1,139,7.33,2.12132034355964,0.778,0.97182531580755,8.11,2.57120810342359
"140","reading",1,140,7.78,2.04803428790742,2.78,4.05517502019881,10.6,5.4339467956337
"141","reading",1,141,10.4,2.78886675511359,4,6.53834841531101,14.4,7.81202776350531
"142","reading",1,142,9.33,3.04138126514911,5.33,7.24568837309472,14.7,9.3407708461347
"143","reading",1,143,9.89,2.42097317438899,2.67,2.87228132326901,12.6,4.53075907302273
"144","reading",1,144,11.3,4.18330013267038,3.44,5.52519481808359,14.8,8.71461097493425
"145","reading",1,145,7.11,1.36422546197874,2.89,5.03598164324604,10,5.95818764390649
"146","reading",1,146,10.4,3.46810867444747,2.56,3.46810867444747,13,6.42261628933256
"147","reading",1,147,9.22,2.90593262902712,3.44,4.15665463777998,12.7,5.63471383479232
"148","reading",1,148,10.3,3.46410161513775,2.44,2.65099562009781,12.8,5.71790559946948
"149","reading",1,149,12.1,2.71313676601662,4.22,4.79003595439997,16.3,6.16441400296898
"150","reading",1,150,10.3,2.73861278752583,4.33,5.29150262212918,14.7,6.61437827766148
"151","reading",1,151,13,2.59807621135332,3.11,2.93446947694317,16.1,3.62092683040007
"152","reading",1,152,12.2,4.23608834237961,6,3.77491721763537,18.2,2.04803428790742
"153","reading",1,153,10.9,2.57120810342359,3.44,3.71184290855335,14.3,5.22015325445528
"154","reading",1,154,12,2.06155281280883,2.44,2.185812841434,14.4,2.83333333333333
"155","reading",1,155,12.7,3.1224989991992,8.44,8.9737270839812,21.1,9.7139647472652
"156","reading",1,156,11.9,1.83333333333333,3.56,2.92023591132254,15.4,4.09606857581484
"157","reading",1,157,12.9,2.84800124843918,7.44,7.61759658801763,20.3,8.23103881657716
"158","reading",1,158,12.2,3.70060055186242,4.11,2.47206616236522,16.3,2.39791576165636
"159","reading",1,159,13.1,4.10622833158497,7.56,8.29323686974982,20.7,10.1980390271856
"160","reading",1,160,11.9,3.44399638662864,4.44,5.31768537784794,16.3,5.78791845139511
"161","reading",1,161,11,2.39791576165636,5,4.79583152331272,16,4.89897948556636
"162","reading",1,162,8.44,2.65099562009781,5,2.64575131106459,13.4,3.53946009693255
"163","reading",1,163,11,2.12132034355964,5.33,4.24264068711928,16.3,3.5
"164","reading",1,164,12.3,2.59807621135332,7.33,9.28708781050335,19.7,10.1857743937317
"165","reading",1,165,11.9,3.10017920628971,5.78,3.56292638773866,17.7,2.44948974278318
"166","reading",1,166,13.4,3.20589734361189,6.67,6.18465843842649,20.1,7.83333333333333
"167","reading",1,167,10.3,2.44948974278318,4.33,4.89897948556636,14.7,6.2449979983984
"168","reading",1,168,10.9,1.61589328580544,5.33,3.77491721763537,16.2,3.38296385503074
"169","reading",1,169,10.8,3.23178657161089,4.56,4.97772817435603,15.3,5.8309518948453
"170","reading",1,170,11.1,2.80376730687679,5.44,1.81046341520004,16.6,3.24465372232196
"171","reading",1,171,11.1,2.02758751009941,3.56,3.50396600693811,14.7,4.12310562561766
"172","reading",1,172,10.4,2.12785755580062,2.78,2.72845092395748,13.2,3.56292638773866
"173","reading",1,173,10.6,2.2973414586817,3.44,3.32080980752855,14,4.84767985741633
"174","reading",1,174,11.4,2.60341655863555,3,1.93649167310371,14.4,3.67801274845232
"175","reading",1,175,9.11,2.31540733157497,6.78,10.3171916936948,15.9,11.0955446513955
"176","reading",1,176,9.22,2.68224615657185,5.11,3.98260104844951,14.3,5.26782687642637
"177","reading",1,177,12.2,1.98606254796883,9.33,9.59166304662544,21.6,9.98888270918113
"178","reading",1,178,11.9,2.57120810342359,5.67,3.96862696659689,17.6,4.12647280104665
"179","reading",1,179,9,2.44948974278318,3.67,2.5,12.7,2.59807621135332
"180","reading",1,180,10.2,1.71593835683117,5.44,3.39525813124389,15.7,4.03112887414927
"181","reading",2,1,10.3,3.16227766016838,7.89,4.72875365303704,18.2,4.43784231856478
"182","reading",2,2,11.1,3.9510898637099,9.33,6.57647321898295,20.4,7.23033732116129
"183","reading",2,3,7.89,2.26077666104176,3.11,3.48010216963685,11,4.63680924774785
"184","reading",2,4,9.78,2.58736244937667,3.11,1.96497102042527,12.9,2.89155859548291
"185","reading",2,5,8.44,2.69773567603977,0.778,0.833333333333333,9.22,2.94863433549236
"186","reading",2,6,7.67,2.5,3.56,3.53946009693255,11.2,4.32370725702428
"187","reading",2,7,10.9,4.67558671303518,2.67,1.73205080756888,13.6,5.63717817509592
"188","reading",2,8,10.2,3.41971408811387,3.56,4.50308536203543,13.8,4.43784231856478
"189","reading",2,9,7.78,1.71593835683117,3.11,2.08832734769028,10.9,2.36877840059198
"190","reading",2,10,7,2.59807621135332,2.67,3.53553390593274,9.67,3.278719262151
"191","reading",2,11,9.67,3.39116499156263,3.89,4.83333333333333,13.6,5.59265391185417
"192","reading",2,12,9,1.73205080756888,3.67,3.74165738677394,12.7,3.08220700148449
"193","reading",2,13,8.11,2.97676184991529,3.67,3.96862696659689,11.8,5.06896877524852
"194","reading",2,14,7.89,3.55121262544375,3.22,4.08588355737709,11.1,4.72875365303704
"195","reading",2,15,9.67,2.06155281280883,3.78,4.02423215588321,13.4,4.71993408616877
"196","reading",2,16,9.11,3.40750805004348,4.44,5.41089436024931,13.6,6.40529295019188
"197","reading",2,17,9.56,2.2973414586817,4.56,3.71184290855335,14.1,4.01386485959743
"198","reading",2,18,8.89,3.14024061356946,4.11,2.52212432507026,13,4.47213595499958
"199","reading",2,19,8.89,2.97676184991529,4.33,3.08220700148449,13.2,4.63081466314993
"200","reading",2,20,7.89,2.36877840059198,4.22,4.05517502019881,12.1,4.13655788199695
"201","reading",2,21,9.56,3.60940130461795,8.89,8.29825952300307,18.4,10.6666666666667
"202","reading",2,22,8.89,2.08832734769028,1.89,2.31540733157497,10.8,3.23178657161089
"203","reading",2,23,8.11,2.80376730687679,3.11,2.89155859548291,11.2,3.80058475033046
"204","reading",2,24,9,3,4.33,5.1478150704935,13.3,5.24404424085076
"205","reading",2,25,8.22,2.04803428790742,3.33,3.3166247903554,11.6,4.12647280104665
"206","reading",2,26,8.44,2.2973414586817,3.11,2.08832734769028,11.6,2.35112266327765
"207","reading",2,27,9.78,2.90593262902712,4.44,4.71993408616877,14.2,5.0194067821252
"208","reading",2,28,9,3,1.67,2.39791576165636,10.7,4.66368952654441
"209","reading",2,29,9.44,3.24465372232196,4.56,2.87711275027201,14,3.57071421427143
"210","reading",2,30,9.33,3.46410161513775,4.67,5.43139024560011,14,7.28010988928052
"211","reading",2,31,14.2,3.73422608373468,6.56,4.95255265270121,20.8,8.3483198575788
"212","reading",2,32,11.4,4.12647280104665,2.44,1.9436506316151,13.9,4.19655943733806
"213","reading",2,33,14,2.87228132326901,3.22,2.72845092395748,17.2,4.35252161906686
"214","reading",2,34,10.7,3.64005494464026,1,1.3228756555323,11.7,3.87298334620742
"215","reading",2,35,8,3.16227766016838,2.22,2.10818510677892,10.2,4.11636301174282
"216","reading",2,36,9.67,1.87082869338697,0.778,1.092906420717,10.4,1.74005108481842
"217","reading",2,37,10.8,4.52155332208351,2,2.17944947177034,12.8,4.84194634877798
"218","reading",2,38,12.7,2,3,2.34520787991171,15.7,3.46410161513775
"219","reading",2,39,11.9,3.48010216963685,1.22,1.64147630029935,13.1,4.13655788199695
"220","reading",2,40,9,1.93649167310371,4.22,2.53859103528797,13.2,4.26549463068991
"221","reading",2,41,8.67,2.39791576165636,2,1.87082869338697,10.7,3.3166247903554
"222","reading",2,42,10.4,2.78886675511359,5.67,5.8309518948453,16.1,7.55718936583642
"223","reading",2,43,10.3,2.95803989154981,2.56,4.09606857581484,12.9,5.62237593114433
"224","reading",2,44,8.67,2.44948974278318,1.56,2.92023591132254,10.2,4.40958551844098
"225","reading",2,45,9.33,2.87228132326901,3.44,2.40370085030933,12.8,4.38114647603164
"226","reading",2,46,9.67,2.29128784747792,5,3.3166247903554,14.7,5
"227","reading",2,47,11.8,4.23608834237961,5.56,7.40120110372484,17.3,5
"228","reading",2,48,13.7,8.42614977317636,3.44,4.15665463777998,17.1,11.4503760248784
"229","reading",2,49,11.1,2.75882422620781,3.44,2.78886675511359,14.6,4.0034707164881
"230","reading",2,50,12.1,2.61937227425028,0.667,0.707106781186548,12.8,2.77388616284887
"231","reading",2,51,11.5,3.50509832753866,2.38,2.7222627143085,13.9,5.59176690705694
"232","reading",2,52,10.9,3.68932393686311,2.11,2.36877840059198,13,4.41588043316392
"233","reading",2,53,10.6,2.92023591132254,3,3.20156211871642,13.6,5.02770104299945
"234","reading",2,54,9.22,2.77388616284887,0.333,0.5,9.56,2.96273147243853
"235","reading",2,55,8.78,1.7873008824606,1.67,2.17944947177034,10.4,2.74367960552572
"236","reading",2,56,10.4,2.69773567603977,1.33,1.80277563773199,11.8,3.76755151848577
"237","reading",2,57,12.9,3.82244831372657,3.11,2.02758751009941,16,5.1720402163943
"238","reading",2,58,11.7,3.8405728739343,2.89,3.01846171271247,14.6,6.20707481651202
"239","reading",2,59,8.56,2.78886675511359,1.33,1.6583123951777,9.89,3.17979733805649
"240","reading",2,60,8.67,2.12132034355964,3.33,4.35889894354067,12,5.95818764390649
"241","reading",2,61,9.44,3.04594448041618,4.33,6.44204936336256,13.8,5.62978191801818
"242","reading",2,62,8.89,1.69148192751537,3.44,5.05250213040804,12.3,5.59016994374947
"243","reading",2,63,9.44,2.24227067451229,2.33,2.54950975679639,11.8,3.66666666666667
"244","reading",2,64,8.89,2.80376730687679,1.67,2.78388218141501,10.6,4.55826477705911
"245","reading",2,65,10.2,2.4381231397213,5.22,3.66666666666667,15.4,3.46810867444747
"246","reading",2,66,7.67,2.54950975679639,2.44,2.40370085030933,10.1,2.36877840059198
"247","reading",2,67,6.78,2.94863433549236,2.78,2.48886408717801,9.56,3.77859468291821
"248","reading",2,68,10.4,3.12694383988229,4.78,4.79003595439997,15.2,5.86893895388634
"249","reading",2,69,8.22,1.48136573621926,2.67,2.06155281280883,10.9,2.20479275922049
"250","reading",2,70,9.11,2.02758751009941,2.22,2.86259400621961,11.3,3.278719262151
"251","reading",2,71,8.78,1.98606254796883,2.56,2.74367960552572,11.3,3.64005494464026
"252","reading",2,72,9,1.3228756555323,2.56,3.74536750904071,11.6,3.97212509593766
"253","reading",2,73,8.22,2.68224615657185,2.78,2.48886408717801,11,3.67423461417477
"254","reading",2,74,9.67,3.20156211871642,3.78,3.70060055186242,13.4,5.83333333333333
"255","reading",2,75,10.4,2.74367960552572,3.67,4.5,14.1,6.23386806975501
"256","reading",2,76,7.67,1.93649167310371,1.89,2.08832734769028,9.56,3.12694383988229
"257","reading",2,77,8,1.93649167310371,2.67,3.67423461417477,10.7,4.63680924774785
"258","reading",2,78,8.89,2.08832734769028,3.78,5.04424865014052,12.7,5.61248608016091
"259","reading",2,79,8.11,1.61589328580544,4.11,4.62180820795402,12.2,4.73755680118397
"260","reading",2,80,9,1.93649167310371,3.11,3.44399638662864,12.1,3.78960566696736
"261","reading",2,81,9.56,2.35112266327765,4.11,4.67558671303518,13.7,5.45435605731786
"262","reading",2,82,10.6,2.55495161945932,5.11,5.60009920547048,15.7,7.3824115301167
"263","reading",2,83,9.89,3.51583718495483,2.22,3.03223423311004,12.1,6.11237360696408
"264","reading",2,84,9.56,2.87711275027201,2.44,4.41902452785428,12,5.61248608016091
"265","reading",2,85,9.44,1.50923085635624,5.11,4.371625682868,14.6,4.74634362196605
"266","reading",2,86,9.56,2.96273147243853,3.56,5.05250213040804,13.1,5.81903008336536
"267","reading",2,87,9.67,3.57071421427143,2.56,2.87711275027201,12.2,4.73755680118397
"268","reading",2,88,11.2,4.05517502019881,2.67,3.3166247903554,13.9,5.84047182264508
"269","reading",2,89,8.89,2.26077666104176,3.67,4.15331193145904,12.6,4.63980363569168
