"","task","cond","sub","Nfix_1st_M","Nfix_1st_SD","Nfix_2nd_M","Nfix_2nd_SD","Nfix_all_M","Nfix_all_SD"
"162","reading",3,54,8.5,1.75676034123944,1.63,1.71169070146194,10.1,1.97804036312734
"163","zString",1,1,7.7,2.11969418744211,1.7,1.6006464211428,9.4,2.69865867065282
"164","zString",1,2,12.7,2.63050189695523,2.3,2.36570321979278,15,3.42891692293176
"165","zString",1,3,8.8,2.00688470194392,1.17,1.23409420456751,9.97,1.69142529844799
"166","zString",1,4,6.9,2.17112715045625,2.2,2.04095988235421,9.1,2.75868534406993
"167","zString",1,5,21.3,3.86986589805971,1.03,1.32569652046304,22.3,3.95084742837519
"168","zString",1,6,10.3,2.05359231088119,0.967,1.44993063647014,11.3,2.82761424152068
"169","zString",1,7,3,1.61885442680076,0.5,1.54808001218862,3.5,1.61352046031715
"170","zString",1,8,11,1.96521473776207,1.63,1.51960369909357,12.6,2.32650890352066
"171","zString",1,9,8.3,1.6431676725155,0.9,1.02889294372892,9.2,1.60602314579448
"172","zString",1,10,11.5,3.61580891006066,2.89,3.79414056744115,14.4,4.8407168562662
"173","zString",1,11,12.3,2.36570321979278,1,1.36457647844203,13.3,2.65420940888373
"174","zString",1,12,9.5,1.22474487139159,0.733,1.2847469449832,10.2,2.01174711054387
"175","zString",1,13,10,2.67147554905438,1.17,1.66263881107472,11.2,3.15572823444212
"176","zString",1,14,11.8,2.99520689899982,7.93,3.68532348585607,19.8,3.72024594416249
"177","zString",1,15,12.1,2.31536596248409,4.67,4.34965978323421,16.8,4.08867232476636
"178","zString",1,16,6.3,1.29054920145623,0.833,1.20582875587944,7.13,1.45586408358921
"179","zString",1,17,15.5,2.20865590790875,2.53,2.41737009183938,18.1,3.20488133443597
"180","zString",1,18,14.4,3.53971137951194,1.59,2.57067586137118,16,3.95043179032992
"181","zString",1,19,11.8,3.13379796017108,3.2,3.64265912723677,15,3.24834175202226
"182","zString",1,20,4.97,1.54212869746342,3.17,2.79264222103596,8.13,3.30864419918214
"183","zString",1,21,6.07,2.14850923992032,1.43,1.73569688545003,7.5,2.17747085177846
"184","zString",1,22,9.67,1.97105491330515,2.27,2.25806345675064,11.9,2.57217650133559
"185","zString",1,23,10.6,1.81183846429246,3.03,2.98829132740957,13.6,3.15663868950692
"186","zString",1,24,6.37,1.77109616034686,0.467,1.00801386598746,6.83,1.76329107134893
"187","zString",1,25,7.6,1.90462232657725,2.6,3.7008852622228,10.2,3.87209290284671
"188","zString",1,26,10.6,3.60730421203437,3,2.99424735808171,13.6,3.83885160030906
"189","zString",1,27,13.6,2.48582186506346,7.4,5.28889532824232,21,5.8131835897618
"190","zString",1,28,8.97,1.51960369909357,0.833,0.833907847936794,9.8,1.78885438199983
"191","zString",1,29,10.4,3.16972024582322,15.1,6.16404106888092,25.5,5.45672631428089
"192","zString",1,30,8.17,1.98413245757318,2.5,2.330457998497,10.7,3.00956330127276
"193","zString",1,31,12.9,2.45979159943351,2.63,2.38505885611371,15.5,3.25629364091479
"194","zString",1,32,9.7,2.13590003640555,2.73,2.44855106110748,12.4,3.4509702117374
"195","zString",1,33,8.17,2.03560265300464,1.13,1.69651434404199,9.3,2.74364469399676
"196","zString",1,34,10.2,2.55153773783305,1.73,1.8557149999177,11.9,2.97035157948468
"197","zString",1,35,10.4,1.88643067448957,3.93,3.4534673563839,14.3,3.15499968122118
"198","zString",1,36,15.2,3.76691587010034,3.55,5.07505247612948,18.8,6.48833739624318
"199","zString",1,37,8.97,2.05918184846736,2,1.85695338177052,11,2.80987585114549
"200","zString",1,38,9.57,2.28463131158729,3.77,2.51455532962532,13.3,2.94001329264334
"201","zString",1,39,12.6,3.76447398288474,6.1,3.63270584057365,18.7,4.89851021218192
"202","zString",1,40,10.3,2.06670374456914,3.83,3.71468041353663,14.1,4.49789222667225
"203","zString",1,41,13.8,2.98367204139039,1.67,2.08993207831116,15.5,3.62700598480249
"204","zString",1,42,14.2,3.67531447742047,11.3,9.88097150504938,25.5,12.7322342249814
"205","zString",1,43,12.2,2.84160388577968,4.13,3.69280132273528,16.3,3.48543768586801
"206","zString",1,44,7.3,2.10336348048417,1.97,1.93841978538391,9.27,2.39155602691742
"207","zString",1,45,12.8,2.1982975947926,3.83,2.3001392118932,16.6,2.78410336142421
"208","zString",1,46,4,1.46216655497339,8.27,3.4534673563839,12.3,4.04230502127901
"209","zString",1,47,11.9,2.69546234278636,1.9,3.27319310512659,13.8,4.30236502723632
"210","zString",1,48,9.83,2.03560265300464,0.733,1.68017514139066,10.6,2.29967513947654
"211","zString",1,49,7,2.54612619889307,2.5,4.28912015734439,9.5,4.15019733639673
"212","zString",1,50,13.5,4.56170970166876,7.3,7.826348071606,20.8,5.85269365237117
"213","zString",1,51,10.8,1.82700055678228,2.57,2.20787514223023,13.4,2.80987585114549
"214","zString",1,52,8.27,2.82761424152068,0.467,0.819307248726686,8.73,2.74092022469843
"215","zString",1,53,8.2,1.39950730246583,0.967,1.56432938883779,9.17,1.74362550023148
"216","zString",1,54,7.03,2.25118104379768,3.4,2.7492945803706,10.4,3.00210654010828
"217","zString",2,1,8.6,1.86806187595962,1.73,1.74065650186108,10.3,2.6824247051596
"218","zString",2,2,10.9,2.26441741004095,2,2.05107204937421,12.9,2.35401344735854
"219","zString",2,3,8.5,2.19324983246009,3,4.152273992687,11.5,4.55427044765073
"220","zString",2,4,7.23,2.07917976753986,2.17,2.29066069874646,9.4,2.58109840291246
"221","zString",2,5,13.7,2.85189995149433,0.967,1.37673610356182,14.7,3.4556300887602
"222","zString",2,6,8.37,1.95612800747016,0.833,0.949894125981792,9.2,1.90099792305207
"223","zString",2,7,3.38,1.91635429738435,0.483,0.949461864696163,3.86,1.95893808571004
"224","zString",2,8,11.6,2.20474931460016,1,1.36457647844203,12.6,2.25118104379768
"225","zString",2,9,7.73,2.09980842038002,1.37,1.73171896528064,9.1,1.98876152763299
"226","zString",2,10,9.63,2.1088211011799,2.03,2.7852237368599,11.7,3.41733242742643
"227","zString",2,11,10.1,2.30964992122631,0.833,1.05318346089314,10.9,2.21177621449108
"228","zString",2,12,9.33,2.33907339940757,1.03,2.14127473045015,10.4,2.12510986869456
"229","zString",2,13,10.8,2.13482347381881,0.933,1.46059348668044,11.8,2.63508598738628
"230","zString",2,14,10.1,2.44573285446352,5.43,4.03162783358109,15.6,4.6880871279809
"231","zString",2,15,16.1,3.75024903387654,8.13,5.73995874870034,24.2,6.03666955450974
"232","zString",2,16,7.8,1.93693679244601,1.27,2.76596722913408,9.07,3.27933270475957
"233","zString",2,17,12.5,2.52891326439848,1.57,3.39048702974227,14,3.498603990888
"234","zString",2,18,12.1,2.16449935811133,1.77,2.71246590105163,13.8,2.73020566780339
"235","zString",2,19,12,2.59287263585143,3.6,2.41546739961869,15.6,3.30603766727956
"236","zString",2,20,5.03,1.56432938883779,4.07,2.01602773197492,9.1,2.55086192329654
"237","zString",2,21,4.03,2.09240553419748,0.933,1.38796137612298,4.97,2.60613775978717
"238","zString",2,22,9.73,1.50707145411758,1.4,2.48582186506346,11.1,2.45979159943351
"239","zString",2,23,8.9,2.15518620685241,2.37,1.97367735429339,11.3,2.63835546131106
"240","zString",2,24,6.37,1.60781139169505,4.37,3.54754245517434,10.7,3.74104294266326
"241","zString",2,25,8.93,1.91064772070722,2.73,3.55191384383447,11.7,4.09653624363343
"242","zString",2,26,10.4,4.39814485447211,3.3,3.37485631878067,13.7,5.7973438230192
"243","zString",2,27,14.6,4.08191976470842,8.67,6.36982830566713,23.3,5.51445331853474
"244","zString",2,28,9,1.66904592079256,2.07,1.41247084629228,11.1,1.94442489629708
"245","zString",2,29,8.67,2.2180036586726,8.63,5.61698982664591,17.3,5.73645330772631
"246","zString",2,30,6.3,1.76459431696021,1.6,2.25296739190018,7.9,2.38313036672935
"247","zString",2,31,14.6,2.54070313373938,2.83,2.11860938993634,17.4,3.2021903423291
"248","zString",2,32,8.97,1.79046003206907,2.67,1.64701052764119,11.6,2.47028315190278
"249","zString",2,33,7.73,1.96404461873141,1.37,1.40155906621589,9.1,2.63072036810688
"250","zString",2,34,11.7,1.70057461553103,1.27,1.57421755788081,13,2.31933403045521
"251","zString",2,35,9.4,1.65258418325924,2.73,3.1396610110596,12.1,3.33976391209106
"252","zString",2,36,17.2,3.03315017762062,5.33,4.84471509666111,22.5,6.0156883020255
"253","zString",2,37,10.7,2.321563088183,2.5,1.54808001218862,13.2,2.36934444592767
"254","zString",2,38,8.97,2.14127473045015,3.33,3.48725100046296,12.3,3.71529921754118
"255","zString",2,39,15.4,4.9750609571234,6.03,3.13371936272778,21.4,5.81000496002094
"256","zString",2,40,12.7,3.08872625608963,6.23,6.46306926837521,18.9,7.11167083525141
"257","zString",2,41,12,1.84733420857216,1.43,1.47819398972678,13.4,2.29842524800996
"258","zString",2,42,13.5,2.95949669532763,12.6,5.90107279217281,26.1,6.79466612018052
"259","zString",2,43,12.6,3.04544128882469,3.17,2.61406452355969,15.8,3.14478221382877
"260","zString",2,44,7.67,1.66781569587359,2.83,2.19848432637882,10.5,2.58310158396906
"261","zString",2,45,11.8,2.67405585443604,2.83,2.47864442002469,14.6,3.02404159796238
"262","zString",2,46,3.57,2.01174711054387,7.03,3.41884567465781,10.6,4.09878030638384
"263","zString",2,47,11.1,3.05523857638331,2.7,3.94924698191161,13.8,4.18041410256993
"264","zString",2,48,9.2,2.07447542185056,1.53,2.41737009183938,10.7,3.59053673188125
"265","zString",2,49,6.83,1.48749577416574,1.2,1.80802807424038,8.03,1.71169070146194
"266","zString",2,50,13.9,2.55873531979797,1.7,2.36570321979278,15.6,3.51826106472221
"267","zString",2,51,10.7,2.62809751564209,2,3.15135438863334,12.7,3.94050583134914
"268","zString",2,52,8.27,1.98152385340404,1.3,1.6006464211428,9.57,2.52823140218385
"269","zString",2,53,6.03,1.8285727114117,1.8,2.31039629381688,7.83,2.62722264960066
"270","zString",2,54,6.7,2.03673166177309,2.87,2.33021137613549,9.57,2.47307338225597
"271","zString",3,1,9.4,2.513412297915,1.87,1.90703476874319,11.3,3.10653741529757
"272","zString",3,2,11.2,2.47307338225597,2.47,1.81437427863947,13.7,2.36570321979278
"273","zString",3,3,7.67,2.23349630559946,1.07,1.36289077492212,8.73,2.46259371722011
"274","zString",3,4,7.43,2.68692021278732,4.73,5.26493496919811,12.2,6.04627747166534
"275","zString",3,5,15.5,3.15936848047237,1.07,1.33735027091874,16.6,3.45013742854717
"276","zString",3,6,7.6,2.52709455631397,0.833,1.555487135879,8.43,2.66112930828291
"277","zString",3,7,3.18,1.678923187279,0.786,1.42353609945622,3.96,2.16849739505976
"278","zString",3,8,11.8,2.24990421252044,1.63,1.4967397519467,13.4,2.37346441585572
"279","zString",3,9,6.63,2.09240553419748,0.8,1.15668968806796,7.43,2.17641485227321
"280","zString",3,10,9.13,1.90703476874319,1.73,2.09980842038002,10.9,3.07081179128114
"281","zString",3,11,11.5,2.06336406491143,1.03,1.58621939025564,12.5,2.41760782307778
"282","zString",3,12,8.6,1.67332005306815,0.833,1.41624402079472,9.43,2.14449308105963
"283","zString",3,13,11.5,1.96053007141424,0.533,1.16658456197135,12,2.03419051086243
"284","zString",3,14,9.6,2.25296739190018,6.47,4.13340748913827,16.1,3.62874855727894
"285","zString",3,15,14.7,4.68256732803803,6.57,5.32841008397331,21.3,7.27845190057374
"286","zString",3,16,7.23,1.71571505819572,1.2,1.58440677465928,8.43,2.12835266285249
"287","zString",3,17,14.3,2.79078944872709,3.6,5.29541115592971,17.9,5.76393862786091
"288","zString",3,18,11.8,2.72514894668332,1.07,1.48401443745494,12.8,2.86577104426731
"289","zString",3,19,12.6,3.286335345031,3.93,3.16155061620885,16.5,4.25670532570497
"290","zString",3,20,4.77,1.67503645525606,4.93,3.84109658671918,9.7,4.41119266068205
"291","zString",3,21,3.21,1.67714277322278,1.24,1.765850107168,4.45,2.33889789211793
"292","zString",3,22,9.53,2.48767074733101,0.9,1.29588207211443,10.4,2.71246590105163
"293","zString",3,23,8.93,2.44855106110748,3.4,2.17509413193053,12.3,2.85673231861683
"294","zString",3,24,6.03,1.60781139169505,3.07,2.81539282900436,9.1,3.32545044913545
"295","zString",3,25,9.8,1.78885438199983,2.57,3.15882271100172,12.4,3.44897119426222
"296","zString",3,26,12.3,4.47932671459584,4.2,3.96014628778908,16.5,6.09540999347097
"297","zString",3,27,13.6,3.33838697370555,5.7,3.94050583134914,19.3,5.1135384873949
"298","zString",3,28,9.33,3.1767835971291,2.33,1.53877096799817,11.7,3.96826491514637
"299","zString",3,29,9.3,2.07031565142896,9.1,4.99896541020378,18.4,5.50610945943779
"300","zString",3,30,6.3,1.78402876117221,1.7,1.896457677919,8,2.16556116801484
"301","zString",3,31,14.6,2.95580473123571,2.37,1.90250893030363,16.9,3.24763397518588
"302","zString",3,32,8.97,1.8285727114117,2.8,2.483045960384,11.8,3.00210654010828
"303","zString",3,33,6.7,1.6431676725155,0.9,1.37339247724448,7.6,2.0943273136145
"304","zString",3,34,11.3,2.05359231088119,1.57,2.12835266285249,12.9,2.55603860169078
"305","zString",3,35,10.4,2.28463131158729,2.37,2.7099221687937,12.8,3.07828882156394
"306","zString",3,36,17.7,3.41548199254209,5.87,4.71046767817448,23.6,6.39333345318998
"307","zString",3,37,11.6,1.86959950225993,1.9,1.70900253223113,13.5,2.11290506556541
"308","zString",3,38,9.53,1.97804036312734,3.4,3.78381307404453,12.9,3.78684959894864
"309","zString",3,39,13.2,4.13632631719245,6.07,3.64770436390297,19.2,3.5591875606596
"310","zString",3,40,12,2.53911922460951,4,3.35281662342945,16,3.52804853095612
"311","zString",3,41,12.6,2.44502779524901,2.37,2.12510986869456,14.9,3.05053226936494
"312","zString",3,42,12.6,2.1922014338187,10.9,5.21888700866338,23.5,5.76403833531965
"313","zString",3,43,13.6,3.27582577112377,3.87,4.02349422108774,17.5,3.67407819387566
"314","zString",3,44,7.63,1.54212869746342,2.57,2.43088366696122,10.2,2.32527343590472
"315","zString",3,45,10.2,2.0956989342433,3.53,2.78831717056689,13.8,3.21294078777483
"316","zString",3,46,3.4,2.11072793457449,7.37,3.78274971446683,10.8,4.26439415055226
"317","zString",3,47,11.7,2.86657310726769,3.43,2.83674574764493,15.1,3.31904985711619
"318","zString",3,48,8.77,1.97716853158724,0.967,2.5661366821088,9.73,2.93531803285828
"319","zString",3,49,7.57,1.88795334054948,0.833,1.64176804051321,8.4,2.01031821121553
"320","zString",3,50,13.1,2.25806345675064,2.47,2.80065673743134,15.5,2.71310146146986
"321","zString",3,51,9.87,1.96053007141424,1.7,1.68461599021343,11.6,2.59553108422831
"322","zString",3,52,7.77,2.25424248815479,1.5,1.79558846371725,9.27,2.37709375344004
"323","zString",3,53,6.7,1.3683617186634,1.53,1.52526613468247,8.23,2.31462119241309
"324","zString",3,54,6.33,1.60459111417151,2.27,2.6252531350307,8.6,2.25296739190018
