"","task","cond","sub","duration_ms_M","duration_ms_SD"
"1","reading",1,1,3190,642.743923910711
"2","reading",1,2,5360,984.746203372966
"3","reading",1,3,4090,751.00875379443
"4","reading",1,4,2890,1052.76327364932
"5","reading",1,5,6150,1452.48851262595
"6","reading",1,6,3320,730.719654719307
"7","reading",1,7,5020,1487.78211890496
"8","reading",1,8,5050,1023.42961900537
"9","reading",1,9,3480,920.761289218947
"10","reading",1,10,3430,937.372517615921
"11","reading",1,11,3780,609.523024373468
"12","reading",1,12,2840,471.194135991847
"13","reading",1,13,3690,898.023006770793
"14","reading",1,14,4130,903.691685293699
"15","reading",1,15,3600,933.538131882228
"16","reading",1,16,3770,432.651642407793
"17","reading",1,17,6970,2211.04598667066
"18","reading",1,18,3670,1300.07715774563
"19","reading",1,19,3750,691.6270048177
"20","reading",1,20,6150,2505.1466896734
"21","reading",1,21,2460,549.403732167465
"22","reading",1,22,4510,1376.09280460896
"23","reading",1,23,5130,1683.30632128094
"24","reading",1,24,2820,781.336464824449
"25","reading",1,25,5030,1723.02860330759
"26","reading",1,26,6460,1415.16029269584
"27","reading",1,27,6130,1931.73469805721
"28","reading",1,28,4360,756.188445770789
"29","reading",1,29,4100,1780.07257407262
"30","reading",1,30,6320,1858.85161063083
"31","reading",1,31,4550,816.104800149825
"32","reading",1,32,7530,2722.7986880051
"33","reading",1,33,3310,468.053868841965
"34","reading",1,34,3370,653.711287287008
"35","reading",1,35,3270,972.003075180794
"36","reading",1,36,4310,1379.38661238856
"37","reading",1,37,6090,1913.57029731302
"38","reading",1,38,4550,2038.83502373855
"39","reading",1,39,3480,622.899623839436
"40","reading",1,40,5280,1631.92230629804
"41","reading",1,41,4390,1302.17565246976
"42","reading",1,42,7280,1460.92588969202
"43","reading",1,43,6730,1213.2692208652
"44","reading",1,44,4990,891.425929904301
"45","reading",1,45,3210,672.551374784215
"46","reading",1,46,6760,3733.52313490228
"47","reading",1,47,2710,578.062503083589
"48","reading",1,48,2380,369.11090598835
"49","reading",1,49,4390,1095.28138199603
"50","reading",1,50,3910,620.585638314938
"51","reading",1,51,5590,847.430586449754
"52","reading",1,52,3210,570.61596180099
"53","reading",1,53,3950,1315.15574402216
"54","reading",1,54,3980,787.22489812625
"55","reading",2,1,3090,822.277340158374
"56","reading",2,2,4710,724.627114571635
"57","reading",2,3,4400,973.20291442416
"58","reading",2,4,3370,1020.06953560591
"59","reading",2,5,4990,965.781625563389
"60","reading",2,6,3060,805.666755358352
"61","reading",2,7,5010,1285.81971931321
"62","reading",2,8,4180,829.93304604621
"63","reading",2,9,2910,719.112307184926
"64","reading",2,10,3370,553.041006772928
"65","reading",2,11,4180,881.717357689285
"66","reading",2,12,3860,1197.25270237044
"67","reading",2,13,3790,849.00617289228
"68","reading",2,14,3410,703.619918461077
"69","reading",2,15,3210,489.489525324392
"70","reading",2,16,4080,586.840443176104
"71","reading",2,17,5620,2655.57768765525
"72","reading",2,18,3660,629.472079484527
"73","reading",2,19,4110,1026.3422190355
"74","reading",2,20,5600,3851.70424080311
"75","reading",2,21,2730,1142.12442505134
"76","reading",2,22,4190,1120.34692697468
"77","reading",2,23,5690,2015.21443598157
"78","reading",2,24,3650,1183.95467061411
"79","reading",2,25,4800,1818.02114348566
"80","reading",2,26,5190,1044.52168506676
"81","reading",2,27,6560,1433.56550151238
"82","reading",2,28,5040,876.895283332642
"83","reading",2,29,4330,1245.17354373717
"84","reading",2,30,6200,2131.08135871704
"85","reading",2,31,4690,860.575576569836
"86","reading",2,32,7000,1980.91244040511
"87","reading",2,33,2790,504.550239003175
"88","reading",2,34,3290,419.393608499909
"89","reading",2,35,3090,767.110907775131
"90","reading",2,36,6230,2111.87103974313
"91","reading",2,37,5120,1492.57499513155
"92","reading",2,38,3420,1048.50914191992
"93","reading",2,39,4360,719.438367317046
"94","reading",2,40,6020,1311.99194392326
"95","reading",2,41,3990,1092.3026447904
"96","reading",2,42,7690,2016.60372534057
"97","reading",2,43,5940,1577.85649741565
"98","reading",2,44,4460,735.691389571507
"99","reading",2,45,3800,952.394683591489
"100","reading",2,46,7130,3152.34665664774
"101","reading",2,47,3250,786.509650217375
"102","reading",2,48,2880,634.760380167103
"103","reading",2,49,3550,832.751564283185
"104","reading",2,50,3520,609.415751864595
"105","reading",2,51,5660,794.840104646226
"106","reading",2,52,3690,788.244583228141
"107","reading",2,53,3770,987.930785420522
"108","reading",2,54,3800,598.485637773113
"109","reading",3,1,3190,868.206885800685
"110","reading",3,2,5460,987.57043165096
"111","reading",3,3,4220,607.986180272462
"112","reading",3,4,3350,1075.81789735803
"113","reading",3,5,5240,786.783565004328
"114","reading",3,6,2420,529.394822567164
"115","reading",3,7,4890,1177.23655373433
"116","reading",3,8,5030,1127.7427786125
"117","reading",3,9,3150,738.448068976223
"118","reading",3,10,3550,642.711072713475
"119","reading",3,11,4880,1224.30692568321
"120","reading",3,12,3440,1021.79415341546
"121","reading",3,13,3830,815.582708970963
"122","reading",3,14,3560,609.779931096306
"123","reading",3,15,3200,497.596522144774
"124","reading",3,16,4380,600.37163682077
"125","reading",3,17,5250,2127.84956175742
"126","reading",3,18,3340,1145.70685705326
"127","reading",3,19,4110,758.665577590475
"128","reading",3,20,7190,3276.44165356189
"129","reading",3,21,2930,1329.72340741595
"130","reading",3,22,4770,1360.8122810909
"131","reading",3,23,5500,2168.38108581802
"132","reading",3,24,3400,942.419078510314
"133","reading",3,25,4790,1679.03263884263
"134","reading",3,26,5330,1161.11703301942
"135","reading",3,27,6710,1406.62108426991
"136","reading",3,28,5520,1173.96698342028
"137","reading",3,29,4710,2344.04278064016
"138","reading",3,30,4840,1484.29088917172
"139","reading",3,31,4580,986.994546328782
"140","reading",3,32,7260,1847.32413998218
"141","reading",3,33,3010,770.716565371428
"142","reading",3,34,3430,789.519964733409
"143","reading",3,35,3070,867.446181708652
"144","reading",3,36,4880,1927.1550719297
"145","reading",3,37,4980,1195.39454411167
"146","reading",3,38,3720,758.836923101445
"147","reading",3,39,4730,663.595802921607
"148","reading",3,40,6620,1867.02531396564
"149","reading",3,41,3730,1127.78645416892
"150","reading",3,42,6980,1698.68740705774
"151","reading",3,43,6940,2221.16195670893
"152","reading",3,44,4590,789.848526872272
"153","reading",3,45,3700,555.941497170217
"154","reading",3,46,8420,3627.75336195453
"155","reading",3,47,3360,892.522003978729
"156","reading",3,48,2540,411.291250944447
"157","reading",3,49,3390,745.120093691607
"158","reading",3,50,3950,517.77457039442
"159","reading",3,51,5740,992.513621320003
"160","reading",3,52,3800,692.748685584686
"161","reading",3,53,4230,1588.66201529796
"162","reading",3,54,3590,781.199357898872
"163","zString",1,1,2860,595.611116668293
"164","zString",1,2,6560,1063.40908965178
"165","zString",1,3,3550,599.685871792546
"166","zString",1,4,3310,976.940153933605
"167","zString",1,5,7620,1319.94980268539
"168","zString",1,6,3220,644.480797891275
"169","zString",1,7,2630,578.007477181879
"170","zString",1,8,4300,692.710763810445
"171","zString",1,9,3090,413.8070792659
"172","zString",1,10,3920,1113.27242640887
"173","zString",1,11,3810,698.97276762765
"174","zString",1,12,3240,606.006767535521
"175","zString",1,13,3670,764.83981419596
"176","zString",1,14,6610,1673.08983070521
"177","zString",1,15,6000,1771.41062984849
"178","zString",1,16,2430,404.771240914253
"179","zString",1,17,5840,929.087081896593
"180","zString",1,18,4820,1100.94024392319
"181","zString",1,19,3580,702.158184522515
"182","zString",1,20,2620,720.883831730588
"183","zString",1,21,2540,518.254210245109
"184","zString",1,22,4270,711.31822663294
"185","zString",1,23,4490,949.095174666225
"186","zString",1,24,2760,445.295077164712
"187","zString",1,25,3230,1032.93937744248
"188","zString",1,26,6440,1990.90545911312
"189","zString",1,27,6610,1901.4743768316
"190","zString",1,28,4030,452.52444018585
"191","zString",1,29,11700,2393.30536019256
"192","zString",1,30,3350,850.618707211093
"193","zString",1,31,4750,984.431652356282
"194","zString",1,32,4150,895.950201946412
"195","zString",1,33,3740,990.997215742403
"196","zString",1,34,3350,726.633254267169
"197","zString",1,35,3840,874.711754821546
"198","zString",1,36,7100,2081.12146049512
"199","zString",1,37,3570,742.070570117481
"200","zString",1,38,4030,942.788249162356
"201","zString",1,39,5990,1233.84617281123
"202","zString",1,40,4470,1215.99743883956
"203","zString",1,41,4090,784.367748169069
"204","zString",1,42,7360,1817.1255196114
"205","zString",1,43,5350,1049.24829195044
"206","zString",1,44,2930,606.565367316323
"207","zString",1,45,4950,1180.92051033257
"208","zString",1,46,7450,3031.05324738873
"209","zString",1,47,4180,1126.51349074371
"210","zString",1,48,3680,541.954870454354
"211","zString",1,49,3250,1069.684519503
"212","zString",1,50,5720,1498.49551524034
"213","zString",1,51,5250,832.878245162141
"214","zString",1,52,2610,665.831404051123
"215","zString",1,53,3180,462.316934878944
"216","zString",1,54,3450,1116.63381715278
"217","zString",2,1,3330,674.895922159207
"218","zString",2,2,5550,772.271530028107
"219","zString",2,3,3840,1601.51842461079
"220","zString",2,4,3680,849.617507585268
"221","zString",2,5,5240,1116.7539315705
"222","zString",2,6,2640,411.574242963848
"223","zString",2,7,2710,571.643422334982
"224","zString",2,8,4290,721.116934576725
"225","zString",2,9,2910,483.975913716242
"226","zString",2,10,3290,815.85169939291
"227","zString",2,11,3200,561.510643085998
"228","zString",2,12,3270,646.687684218232
"229","zString",2,13,3750,749.892759382775
"230","zString",2,14,4580,1159.65904868431
"231","zString",2,15,8710,2543.47428263719
"232","zString",2,16,2950,992.735593509515
"233","zString",2,17,4820,957.992372129064
"234","zString",2,18,4210,682.584173580804
"235","zString",2,19,3840,690.083537338594
"236","zString",2,20,2910,822.616671667762
"237","zString",2,21,1980,537.811063692339
"238","zString",2,22,4090,852.165085727721
"239","zString",2,23,3900,825.15530339
"240","zString",2,24,3940,1111.64223344222
"241","zString",2,25,3580,1147.0915750755
"242","zString",2,26,5840,2689.50770630962
"243","zString",2,27,7990,2005.3572170105
"244","zString",2,28,4440,535.718878929406
"245","zString",2,29,6590,2178.31462426777
"246","zString",2,30,2560,577.767472019789
"247","zString",2,31,5170,1005.6661405292
"248","zString",2,32,3870,763.112941129647
"249","zString",2,33,3220,772.660577366344
"250","zString",2,34,3560,585.511019557266
"251","zString",2,35,3160,817.086469628873
"252","zString",2,36,9420,2554.44437578224
"253","zString",2,37,4000,641.667479324758
"254","zString",2,38,3670,853.511751058767
"255","zString",2,39,6280,919.395441668556
"256","zString",2,40,5910,2125.58859488675
"257","zString",2,41,3660,668.113948571546
"258","zString",2,42,7290,1532.16838905317
"259","zString",2,43,5810,1277.68664021141
"260","zString",2,44,3390,999.72085529199
"261","zString",2,45,4170,696.595708865046
"262","zString",2,46,6180,1940.92875653153
"263","zString",2,47,4140,1213.7843836057
"264","zString",2,48,3870,1062.30460867361
"265","zString",2,49,2600,349.487652915278
"266","zString",2,50,4240,1002.863841734
"267","zString",2,51,5100,839.599481006121
"268","zString",2,52,2880,572.336373243857
"269","zString",2,53,2810,847.829347391827
"270","zString",2,54,3180,712.093849555459
"271","zString",3,1,3420,682.30411613631
"272","zString",3,2,5690,906.596644523941
"273","zString",3,3,3100,717.13550636038
"274","zString",3,4,4180,1542.61694539827
"275","zString",3,5,5780,941.835100997656
"276","zString",3,6,2460,541.211408329266
"277","zString",3,7,2780,437.415850692201
"278","zString",3,8,4810,831.814963398311
"279","zString",3,9,2570,479.996873792502
"280","zString",3,10,3120,669.772238693228
"281","zString",3,11,3530,609.387520855746
"282","zString",3,12,2960,588.241208638285
"283","zString",3,13,3770,594.311270469353
"284","zString",3,14,4660,958.687561320102
"285","zString",3,15,8040,3078.22694319199
"286","zString",3,16,2920,511.226212385364
"287","zString",3,17,5810,1627.58399645525
"288","zString",3,18,3900,764.31227369717
"289","zString",3,19,3890,986.192979646199
"290","zString",3,20,3020,1021.35946366741
"291","zString",3,21,2000,710.910324622714
"292","zString",3,22,3930,614.609622854822
"293","zString",3,23,4250,863.423741549458
"294","zString",3,24,3540,938.583025923506
"295","zString",3,25,3880,1052.36800794111
"296","zString",3,26,7410,3212.96568716452
"297","zString",3,27,6810,1587.65457786657
"298","zString",3,28,4380,673.715520304268
"299","zString",3,29,7110,1994.53452323288
"300","zString",3,30,2660,438.765692976711
"301","zString",3,31,5030,1056.84795119924
"302","zString",3,32,3830,852.708968556958
"303","zString",3,33,2900,594.000318317187
"304","zString",3,34,3560,494.470040234649
"305","zString",3,35,3390,636.619340781814
"306","zString",3,36,9890,2719.04796324684
"307","zString",3,37,4020,468.751121377969
"308","zString",3,38,3930,1131.60611928153
"309","zString",3,39,6130,973.377499982029
"310","zString",3,40,4800,1031.18018760561
"311","zString",3,41,3930,856.280589016496
"312","zString",3,42,7030,1685.68230498316
"313","zString",3,43,5930,1313.95456498715
"314","zString",3,44,3150,726.215057125231
"315","zString",3,45,4190,990.0859013005
"316","zString",3,46,6720,2329.65071354623
"317","zString",3,47,4700,1266.20015305093
"318","zString",3,48,3650,848.993551550725
"319","zString",3,49,2710,400.50269561565
"320","zString",3,50,4240,647.332709494592
"321","zString",3,51,4680,928.603497286336
"322","zString",3,52,2800,584.509206637225
"323","zString",3,53,2910,743.907917456974
"324","zString",3,54,2820,569.048857567477
